Unnamed: 0,Date,Opr Start Time,Opr End Time,Time in Hrs,Rig Name,Well No,Company Name,Liner Size,holesize,lateral,Operation,majoroperation,action,Hole Depth Start,Hole Depth End,Event Depth Start,Event Depth End,Summarry Of Operation
10,06/27/2022,2300,0030,01.5,910TE,DMMM-525,WCR,7, ,0,TBG,COMP,HT,15300,15300, , ,"RUN 2 X 7"" TBG 26# L80 TSH BLUE EXTRA TO ENSURE FREE PASSAGE WHILE LANDING TBG HGR, PULL BACK STRING TO 14835 FT. - L/D 2 JTS."
11,06/27/2022,0030,0100,00.5,910TE,DMMM-525,WCR,7, ,0,TBGHR,COMP,RPCS,15300,15300, 14835, 14848,"P/U AND M/U ASSY#25: 13-5/8"" X 7"" CIW TBG HANGER WITH XO 7"" 26# NEW VAM BOX X THS BLUE PIN & 1 PUP JOINT."
12,06/27/2022,0100,0330,02.5,910TE,DMMM-525,INW,7, ,0,PLUGT,COMP,SET,15300,15300, 2155, 2155," HPJSM, R/U SLB SLICK LINE LUBRICATOR & BOPE. PT TEST TO 2000 PSI, OK: * DRIFT STRING WITH 6.151"" DRIFT SIZE TO 2180 FT.* SET INTERWELL PLUG @ 2155 FT (INSIDE 7"" 26# TBG). * R/D SLB SLICK LINE LUBRICATOR & BOPE."
13,06/27/2022,0330,0500,01.5,910TE,DMMM-525,RIG,7, ,0,PLUGT,COMP,PTST,15300,15300, , ," HPJSM. R/U & LINE-UP SURFACE LINES TO TUBING STRING, FLUSH & P/T LINES TO 4500 PSI FOR 10 MIN, OK. * INSTALLED TIW VALVE & P/T TUBING STRING AGAINST INTERWELL PLUG TO 4000 PSI FOR 10 MINS, OK* R/D SURFACE LINES."
14,06/27/2022,0500,0815,03.2,NBR-16S,HMYM-433114,RIG,None, 8 1/2,0,MPMP,DRLG,CIRC,9095,9095, , ,PUMP HVP & CHC. DISPLACED TO 86 PCF OBM.
15,06/27/2022,0815,1800,09.8,NBR-16S,HMYM-433114,SDM,None, 8 1/2,0,RSS,DRLG,D,9095,9740, , ,"CONTROL RSS DRILL 8.5'' CURVE SECTION WITH 86 PCF OBM, 100% RETURNS."
16,06/27/2022,1800,1830,00.5,NBR-16S,HMYM-433114,RIG,None, 8 1/2,0,TDS,DRLG,RR,9740,9740, , ,RIG SERVICE.
17,06/27/2022,1830,0500,10.5,NBR-16S,HMYM-433114,SDM,None, 8 1/2,0,RSS,DRLG,D,9740,10500, , ,"CONTROL RSS DRILL 8.5'' CURVE SECTION WITH 87-88 PCF OBM, 100% RETURNS...@RT.* 9.6' BELOW & 9' RIGHT OF PLAN #5."
18,06/27/2022,0500,0600,01.0,SINO-19L,UTMN-232,RIG,7, ,0-1,BIT,CT,RW,6880,6880, 6311, 6330,"DRILL OUT CMT / DART & WIPER PLUGS & CMT VALVE @ 6311', REAM DOWN TO 6330'.>> SWEEP HOLE W/ 20 BBL HI-VIS PILL REGULARY. "
19,06/27/2022,0600,0700,01.0,SINO-19L,UTMN-232,RIG,7, ,0-1,MPMP,CT,CIRC,6880,6880, , ," SWEEP HOLE W/ HI-VIS PILL , CHC W/ 86 PCF VISCOUS BRINE , P/T CMT VALVE TO 1000 PSI - OK."
20,06/27/2022,0700,0900,02.0,SINO-19L,UTMN-232,RIG,7, ,0-1,BIT,CT,RW,6880,6880, 6330, 6580,"REAM DWON , DRILL OUT & DRESS BALL SEAT @ 6417' , FLOAT COLLAR @ 6431' & FLOAT SHOE @ 6441',  WASH DOWN TO 6580'.>> SWEEP HOLE W/20 BBL TANDEM PILLS REGULARY."
21,06/27/2022,0900,1200,03.0,SINO-19L,UTMN-232,RIG,7, ,0-1,MPMP,CT,CIRC,6880,6880, , ,"SWEEP HOLE THREE TIMES W/ HI-VIS PILL, CHC W/ 86 PCF VISCOUS BRINE , FLOW CHECK- WELL STATIC. "
22,06/27/2022,1200,1230,00.5,SINO-19L,UTMN-232,RIG,7, ,0-1,STDP,CT,ST,6880,6880, 6580, 5369,"POOH W/ 3-7/8"" CLEAN OUT ASSY ON 4"" DP TO 4-1/2"" TOL @ 5369'.>> CONTROL POOH SPEED .>> MONITOR WELL ON TRIP TANK , STATIC."
23,06/27/2022,1230,1300,00.5,SINO-19L,UTMN-232,RIG,7, ,0-1,MPMP,CT,CIRC,6880,6880, , ,"FLOW CHECK, WELL STATIC."
24,06/27/2022,1300,1500,02.0,SINO-19L,UTMN-232,RIG,7, ,0-1,STDP,CT,TO,6880,6880, 5369, 1460,"POOH W/ 3-7/8"" CLEAN OUT ASSY ON 4"" DP TO 1460', RACK BACK 4"" DP STD'S ON DERRICK.>> MONITOR WELL ON TRIP TANK , STATIC."
25,06/27/2022,1500,1600,01.0,SINO-19L,UTMN-232,RIG,7, ,0-1,BHA,CT,HT,6880,6880, , ,"M/U & RIH W/ X/O + 5-1/4"" TOT POLISH MILL + 1 X 4-3/4"" DC +7"" SCRAPER + 7"" JUNK BASKET + X/O + 7"" MAGNET."
26,06/27/2022,1600,1830,02.5,SINO-19L,UTMN-232,RIG,7, ,0-1,STDP,CT,TI,6880,6880, 1515, 6441,"RIH W/ 3-7/8"" COMBINED ( 7"" SCRAPER + 5-1/4"" POLISH MILL ) CLEAN OUT ASSY ON 4"" DP STD'S TO 4-1/2"" OFF BTM LNR SHOE @ 6441'."
27,06/27/2022,1830,1930,01.0,SINO-19L,UTMN-232,RIG,7, ,0-1,STDP,CT,ST,6880,6880, 6441, 6860,"CONT.RIH W/ 3-7/8"" COMBINED ( 7"" SCRAPER + 5-1/4"" POLISH MILL ) CLEAN OUT ASSY ON 4"" DP STD'S , SCRAPE 7"" CSG ACROSS PKR SETTING DEPTH & C/O  4-1/2"" LINER PBR W/ 5-1/4"" POLISH MILL TILL NO-GO MEANWHILE 3-7/8"" BIT @ 6860'."
28,06/27/2022,1930,2100,01.5,SINO-19L,UTMN-232,RIG,7, ,0-1,MPMP,CT,CIRC,6880,6880, , ,"SWEEP HOLE W/ 30 BBL HI-VIS PILL , DISPLACE HOLE TO 81 PCF FRESH FREE SOLIDS BRINE IN STAGES.>> FLOW CHECKS BETWEEN STAGES - STATIC."
29,06/27/2022,2100,2200,01.0,SINO-19L,UTMN-232,RIG,7, ,0-1,MPMP,CT,CIRC,6880,6880, , ,FLOW CHECK FOR ONE HOUR - WELL STATIC 
30,06/27/2022,2200,2230,00.5,SINO-19L,UTMN-232,RIG,7, ,0-1,MPMP,CT,CIRC,6880,6880, , ,SPOT 15 BBLS N-FLOW ACROSS OPEN HOLE.
31,06/27/2022,2230,0030,02.0,SINO-19L,UTMN-232,RIG,7, ,0-1,STRG,CT,LDP,6880,6880, 6880, 5419,"POOH W/ 3-7/8"" COMBINED ( 7"" SCRAPER + 5-1/4"" POLISH MILL ) ASSY TO 5419' (50 FT BELOW 4-1/2"" TOL) WHILE L/D ( 45 JTS ) 4"" DP TO RACKS .>> CONTROL POOH SPDEED .>> MONITOR WELL ON TRIP TANK - STATIC."
32,06/27/2022,0030,0130,01.0,SINO-19L,UTMN-232,RIG,7, ,0-1,MPMP,CT,CIRC,6880,6880, , ,"CHC W/ 81 PCF FREE SOLIDS BRINE , FLOW CHECK - WELL STATIC. "
33,06/27/2022,0130,0500,03.5,SINO-19L,UTMN-232,RIG,7, ,0-1,STRG,CT,LDP,6880,6880, 5419, 2840,"CONT.POOH W/ 3-7/8"" COMBINED ( 7"" SCRAPER + 5-1/4"" POLISH MILL ) ASSY TO 2840', WHILE L/D ( 81 JTS ) 4"" DP TO RACKS ."
34,06/27/2022,0500,0630,01.5,SND-3001,MHWZ-167101,RIG,None, 8 3/8,0,STDP,DRLG,TI,18074,18074, 11138, 13530,"RIH W/ 8-3/8"" BAKER RSS ASSY ON 5-1/2"" DP IN CASED HOLE . (FILL PIPE & TEST BAKER TOOLS EVERY 10 STDS)."
35,06/27/2022,0630,0930,03.0,SND-3001,MHWZ-167101,RIG,None, 8 3/8,0,STDP,DRLG,TI,18074,18074, 13530, 16000,"RIH W/ 8-3/8"" BAKER RSS ASSY ON 5-1/2"" DP IN OPEN HOLE . (FILL PIPE & TEST BAKER TOOLS EVERY 10 STDS)."
36,06/27/2022,0930,1130,02.0,SND-3001,MHWZ-167101,RIG,None, 8 3/8,0,STDP,DRLG,TI,18074,18074, 16000, 17815,"RIH W/ 8-3/8"" BAKER RSS ASSY ON 5-1/2"" DP IN OPEN HOLE . (FILL PIPE & COOL BAKER TOOLS EVERY 5 STDS)."
37,06/27/2022,1130,1230,01.0,SND-3001,MHWZ-167101,RIG,None, 8 3/8,0,BIT,DRLG,RW,18074,18074, 17815, 18024,BREAK CIRCULATION & WASH DOWN TO RELOG 
38,06/27/2022,1230,1415,01.8,SND-3001,MHWZ-167101,BHI,None, 8 3/8,0,LWD,DRLG,LOG,18074,18074, 18024, 18074,"TAKE SURVEY, BAKER PERFORM MULTIPLE DOWNLINK'S, RE-LOG LAST 50 FT TO BOTTOM."
39,06/27/2022,1415,1445,00.5,SND-3001,MHWZ-167101,BHI,None, 8 3/8,0,RSS,DRLG,D,18074,18080, , ,"PATTERN BIT & ROTARY DRILL 8-3/8"" LATERAL W/ BAKER AUTO TRACK RSS W/110 PCF OBM, FULL RETURNS. PUMP TANDEM SWEEPS AS REQUIRED FOR HOLE CLEANING.WOB: 5-15RPM: 60/75 @ 5-15KLBSGPM: 500 @ 3800 PSIAVG ROP: 12.0 FT/HR"
40,06/27/2022,1445,2330,08.8,SND-3001,MHWZ-167101,RIG,None, 8 3/8,0,TDS,DRLG,D,18080,18183, , ,"ROTARY DRILL 8-3/8"" LATERAL W/ BAKER AUTO TRACK RSS W/110 PCF OBM, FULL RETURNS. PUMP TANDEM SWEEPS AS REQUIRED FOR HOLE CLEANING.WOB: 20-35RPM: 60/75 @ 5-15KLBSGPM: 500 @ 3800 PSIAVG ROP: 11.8 FT/HR"
41,06/27/2022,2330,0000,00.5,SND-3001,MHWZ-167101,RIG,None, 8 3/8,0,TDS,DRLG,RR,18183,18183, , ,"RIG SERVICE - SERVICE TDS ,RECORD SCR."
42,06/27/2022,0000,0500,05.0,SND-3001,MHWZ-167101,BHI,None, 8 3/8,0,RSS,DRLG,D,18183,18233, , ,"ROTARY DRILL 8-3/8"" LATERAL W/ BAKER AUTO TRACK RSS W/110 PCF OBM, FULL RETURNS. PUMP TANDEM SWEEPS AS REQUIRED FOR HOLE CLEANING.WOB: 20-35RPM: 60/75 @ 5-15KLBSGPM: 500 @ 3800 PSIAVG ROP: 10.0 FT/HR*LAST SURVEY@ 18,118' MD,14,650.38' TVD : 89.83 DEG INC, 329.21 DEG AZI (0.87' ABOVE ,1.35' RIGHT) OF PLAN."
43,06/27/2022,0500,0645,01.8,SND-2005,MHKK-2,RIG,9 5/8, 12,0,SPDP,CT,TI,13195,13195, 5192, 7448,"RIH W/ BAKER POLISH MILL ASSEMBLY ON 5-1/2"" DP F/ DERRICK AT CONTROLLED SPEED TO 7,448' (30' ABOVE TOL). TAKE PARAMETERS PER BAKER REP.*BREAK CIRCULATION EVERY 20 STANDS."
44,06/27/2022,0645,0800,01.2,SND-2005,MHKK-2,BWC,9 5/8, 12,0,WBCL,CT,WBCO,13195,13195, , ,"WASH DOWN AT 2 BPM & 20 RPM W/ BAKER POLISH MILL ASSEMBLY ENTER 9-5/8"" TOL & LAND OUT NO-GO AT 7,498' (CONFIRMED 9-5/8"" TOL AT 7,478'). POLISH 9-5/8"" PBR INTERVAL F/ 7478' TO 7498' AT 2 BPM - 20 RPM, 3 BPM - 30 RPM, 4 BPM - 40 RPM, & 5 BPM - 50 RPM PER BAKER REP INSTRUCTIONS."
45,06/27/2022,0800,1000,02.0,SND-2005,MHKK-2,RIG,9 5/8, 12,0,MPMP,CT,CIRC,13195,13195, , ,"CIRCULATE HOLE CLEAN W/ POLISH MILL ASSY 10' ABOVE 9-5/8"" TOL AT 7468' AT 12 BPM - 1180 PSI (ENSURE MW 126 PCF IN / OUT)."
46,06/27/2022,1000,1030,00.5,SND-2005,MHKK-2,RIG,9 5/8, 12,0,MPMP,CT,WCNT,13195,13195, , ,"FLOW CHECK AT 7468' - WELL STATIC, PUMP SLUG."
47,06/27/2022,1030,1430,04.0,SND-2005,MHKK-2,RIG,9 5/8, 12,0,SPDP,CT,TO,13195,13195, 7468, 951,"POOH AT REDUCED SPEED W/ BAKER POLISH MILL ASSY & 13-3/8"" CSG SCRAPER ON 5.5"" DP MONITORING WELL ON TRIP TANK (GOOD DISPLACEMENT)."
48,06/27/2022,1430,1445,00.2,SND-2005,MHKK-2,RIG,9 5/8, 12,0,MPMP,CT,WCNT,13195,13195, , ,FLOW CHECK AT TOP OF BHA - WELL STATIC.
49,06/27/2022,1445,1630,01.8,SND-2005,MHKK-2,RIG,9 5/8, 12,0,BHA,CT,HT,13195,13195, , ,"POOH F/ 951' TO SURFACE RACKING BACK 10 STDS 5.5"" HWDP & LAYING DOWN X/O, 13-3/8"" SCRAPER, 2 EA X/O & BAKER POLISH MILL ASSEMBLY.*VISUALLY INSPECT POLISH MILL ASSEMBLY & CONFIRM GOOD POLISHING MARKS ON SAME."
50,06/27/2022,1630,1700,00.5,SND-2005,MHKK-2,ARM,9 5/8, 12,0,LINR,CSG,OTH,13195,13195, , ,"CLEAN & CLEAR RIG FLOOR OF EXCESS HANDLING EQUIPMENT & OBM.*CHANGE HANDLING GEAR TO 5""."
51,06/27/2022,1700,1745,00.8,SND-2005,MHKK-2,BLH,9 5/8, 12,0,HGRL,CSG,RCSG,13195,13195, , ,"PJSM; PICK UP AND INSPECT BAKER 9-5/8"" TIE BACK PACKER WITH SEAL ASSEMBLY. RIH TO 68'.*CHANGE HANDLING GEAR TO 5.5""."
52,06/27/2022,1745,1915,01.5,SND-2005,MHKK-2,RIG,9 5/8, 12,0,STRG,CSG,RCSG,13195,13195, 68, 978,"RIH WITH BAKER TIE BACK PACKER ON 5.5"" HWDP F/ DERRICK AT CONTROLLED SPEED OF 30 FT/MIN.*BREAK CIRCULATION. "
53,06/27/2022,1915,0200,06.8,SND-2005,MHKK-2,RIG,9 5/8, 12,0,STRG,CSG,RCSG,13195,13195, 978, 7418,"CONTINUE TO RIH WITH BAKER TIE BACK PACKER ON 5.5"" DP F/ DERRICK AT CONTROLLED SPEED OF 40 FT/MIN.*BREAK CIRCULATION EVERY 20 STANDS. "
54,06/27/2022,0200,0315,01.2,SND-2005,MHKK-2,BLH,9 5/8, 12,0,HGRL,CSG,SET,13195,13195, 7478, 7444,"SET 9-5/8"" TIE BACK PACKER AS FOLLOWS:*WASH DOWN FROM 7,418', RECORD STRING WEIGHTS.*SLACK OFF 30 KLBS AND LOWER THE BAKER TIE BACK PACKER SEALS IN EXISTING PBR EXTENSION & CONFIRMED SURFACE MEASUREMENTS. *P/T SEALS TO 500 PSI - GOOD TEST.*WITH 30 KLBS SLACK OFF,  ROTATE 15 TURNS TO THE RIGHT TO DISENGAGE RUNNING TOOL & CHECK FOR RELEASE.*P/U STRING 10' TO ACTIVATE DOGS SUB ABOVE PBR EXTENSION & CONFIRM DOGS ACTIVATED.*P/U TO NEUTRAL WEIGHT, ROTATE W/ 15 RPM & SLACK OFF SLOWLY 120 KLBS & SET BAKER TIE BACK PACKER.  CHECK PACKER STROKE & CONFIRM SET."
55,06/27/2022,0315,0345,00.5,SND-2005,MHKK-2,RIG,9 5/8, 12,0,MPMP,CSG,WCNT,13195,13195, , ,"FLOW CHECK, WELL STATIC. PUMP SLUG."
56,06/27/2022,0345,0500,01.2,SND-2005,MHKK-2,RIG,9 5/8, 12,0,STRG,CSG,RCSG,13195,13195, 7444, 5723,"POOH W/ BAKER TIE BACK PACKER RUNNING TOOL ON 5.5"" DP MONITORING WELL ON TRIP TANK (GOOD DISPLACEMENT). * ON GOING @ MRT."
57,06/27/2022,0500,0930,04.5,ADC-66L,UTMN-3155,RIG,None, 34,0,CTRQ,CSG,RCSG,930,930, 430, 930,"RIH 30"" CSG (236#, X-42, R-TYPE) FROM 430 FT TO 930 FT. P/U CASING USING CRANE AND M/U WITH POWER TONG.* 22 / 22 JTS FBE.* M/U OPTIMAL TORQUE= 27,000 LB-FT.* FILLED EVERY JT WITH 65 PCF SPUD MUD.* INSTALLED CENTRALIZERS AND CEMENT BASKETS AS PERPROGRAM.  OH IN GOOD CONDITION."
58,06/27/2022,0930,1045,01.2,ADC-66L,UTMN-3155,RIG,None, 34,0,MPMP,CSG,CIRC,930,930, , ,"CIRCULATED (500 GPM , 550 PSI ). * MEANWHILE: RELEASED ALL CSG WEIGHT."
59,06/27/2022,1045,1300,02.2,ADC-66L,UTMN-3155,TSC,None, 34,0,PEL,CSG,HT,930,930, , ,"CENTERED 30"" CSG AT RIG FLOOR AND WELDED CENTER BEAMS ON CELLAR.- MEANTIME INSTALLED 30SIDE DOOR ELEVATOR ON LAST BARE COUPLING BELOW ROTARY TABLE AND HANG ON BOP WINCHES.BACK-OFF LANDING JT & L/D SAME- R/D TESCO TOOLS + LONG BAILS AND CLEARED RIG FLOOR.  R/U TDS BAILS AND ELEVATORS."
60,06/27/2022,1300,1430,01.5,ADC-66L,UTMN-3155,RIG,None, 34,0,STRG,CSG,RCSG,930,930, 0, 927,"M/U CMT STINGER (ISC) WITH CENTRALIZER. RIH ON 5 1/2"" DP STDS TO FLOAT SHOE AT 927 FT.* CONFIRMED STING INTO THE FLOAT SHOE: OK.* AFTER STING IN, FILLED ANULLUS ( D/P & CSG ) W/ 105 PCF MUD THROUGH TRIP TANK & CONFIRMED LEVEL STATIC (NO LEAK)."
61,06/27/2022,1430,1530,01.0,ADC-66L,UTMN-3155,RIG,None, 34,0,MPMP,CSG,CIRC,930,930, , ,"M/U CIRCULATING SUB + HARD LINE + MANIFOLD. SECURED/CHAINED DOWN THE STRING. RE-ESTABLISHED CIRCULATION THROUGH STINGER (350 GPM,150 PSI). * CONFIRMED STATIC LEVEL IN CSG/DP ANNULUS.PERFORMED PJSM PRIOR CMT JOB  CONT. CIRCULATION."
62,06/27/2022,1530,1900,03.5,ADC-66L,UTMN-3155,SCM,None, 34,0,CSG,CSG,CMC,930,930, , ,"FLUSHED & P/T CMT LINE (300, 2500 PSI): OK.* COMPLETED CHECKLIST: CMT JOB.PERFORMED 30"" CSG CEMENT JOB.* RIG: PUMPED 100 BBL OF WATER.* SLB UNIT: PUMPED CMT SLURRY MIX-ON-THE-FLY (210 BBL,118 PCF).  DROPPED 5 1/2"" DP DART. DISPLACED WITH CMT SLURRY (5 BBL) + WATER (14 BBL).* BUMPED PLUG WITH 1200 PSI OVER FINAL CIRCULATING PRESSURE.* BLED-OFF TO 0 PSI (NO RETURN: FLOAT HOLDING).(HYDRO TEST CSG OK)* OBSERVED GOOD CEMENT ON SURFACE.* STING-OUT ISC, OK.P/U 20 FT & FLUSHED DP STRING. L/D CMT LINES CIRCULATING HEAD."
63,06/27/2022,1900,2000,01.0,ADC-66L,UTMN-3155,RIG,None, 34,0,STRG,DRLG,HT,930,930, , ,"POOH 9 STD AND L/D 2 PUP JTS + STINGER AND CENTRALIZERS.- MEANWHILE: ROUGH CUT IN 30"" CSG..."
64,06/27/2022,2000,2030,00.5,ADC-66L,UTMN-3155,RIG,None, 34,0,TDS,DRLG,RR,930,930, , ,"TDS SERVICE.PERFORMED DROP INSPECTION.- MEANWHILE CUT 30"" CSG 3 FT ABOVE GROUND LEVEL & L/D THE SAME. - INSTALLED 1502 CONNECTION."
65,06/27/2022,2030,0230,06.0,ADC-66L,UTMN-3155,RIG,None, 34,0,BHA,DRLG,HT,930,930, , ,"HOLD PJSM PRIOR P/U 28'' PERFORMANCE BHA - HOUSE KEEPING RIG FLOOR.M/U & RIH 28"" PERFORMANCE BHA TO 925 FT 28"" TRICONE BIT (SMITH, GSI12, S/N: RV0150, 3X13 + 3X16) + 11 1/4"" DHM (WITH 27 3/4"" SLEEVE & FV) + FILTER SUB + 28"" STRR (TOTCO) + 12"" SHOCK SUB (NOV) + 28"" STRR + 9 X 9 1/2"" DC + 91/2"" DRILLING JAR + 3 X 9 1/2"" DC + XO + 3 X 8 1/2"" DC + XO + 6 X HWDP 5 1/2"". * P/U ITEMS FROM RACK."
66,06/27/2022,0230,0315,00.8,ADC-66L,UTMN-3155,RIG,None, 34,0,MMOT,DRLG,DC,930,930, 925, 930,"DRILLED-OUT CMT + 30"" FLOAT SHOE FROM 925 FT TO 930 FT.- * WOB= 5-15 KLB, FR= 600 GPM, SPP= 1000 PSI, TDS= 10-20 RPM, TQ= 1-6 KLB-FT, DIFF= 120 PSI, MW= 65 PCF. * PUMPED HI-VIS PILL."
67,06/27/2022,0315,0500,01.8,ADC-66L,UTMN-3155,RIG,None, 28,0,MMOT,DRLG,DMS,930,970, , ,"DRILLED WITH 28"" PERFORMANCE BHA FROM 930 FT TO 970 FT.* CONTROLLED PARAMETERS FOR FIRST STAND OUT OFSHOE* WOB= 20-40 KLB, FR= 700 - 950 GPM, SPP= 2000 - 2400 PSI, TDS= 30 - 60 RPM, TQ= 8-18 KLB-FT, DIFF= 200-250 PSI, MW= 65PCF.* EACH STD: PUMPED 30 BBLS OF HI-VIS PILL EACH JT. * NO GAIN / LOSS."
68,06/27/2022,0500,1700,12.0,HESP1A-2,AKHL-801,HCM,None, ,0,,PA,OTH,1100,1100, , ,"MOVE CMT UNIT , CMT BULKERS & WATER TANKERS TO WELL AKHL-801 IN PROGRESS* TWO DOZER OF TOTAL THREE DOZER ON LOCATION.* DOZERS CLEAN AND PULL HALLIBURTON EQPTS TO LOCATION.* DOZERS PULL HALL. 6 X6 CMT UNIT & 6X6 WATER TANKERS AND NON-6X6 CMT BULKRES TO 71.6KM OF TOTAL 85 KM SKID ROAD OF WELL AKHL-801.* DAILY PROGRESS 600M."
69,06/27/2022,1700,0500,12.0,HESP1A-2,AKHL-801,HCM,None, ,0,,PA,OTH,1100,1100, , ,WAIT ON DAYLIGHT.
70,06/27/2022,0500,0530,00.5,ADC-29,NYYM-102,RIG,7, 6 1/8,0-2-1,TDS,DRLG,RR,9760,9760, , ,HPJSM. SERVICED TDS FOR AND CHECKED FOR POTENTIAL DROPPED OBJECTS.
71,06/27/2022,0530,1000,04.5,ADC-29,NYYM-102,SPS,7, 6 1/8,0-2-1,RSS,DRLG,D,9760,10130, , ,"SPS RSS/LWD ASSY DRILL 6-1/8"" L-0-2-1 LATERAL SECTION W/75 PCF OBM & 100% CIRCULATION.- OBSERVED SUDDEN BUILD UP IN INCLIANTION FROM 89.7 TO 90.40 DEG, AND THEN SUDDEN DROP TO 87.90 DEG DUE TO DRILLING IN SOFT SAND FORMATION.- SWEPT HOLE AS REQUIRED. - WASH UP/REAM DOWN ONE SINGLE E/STD & TAKE SURVEY EVERY STD DRILLED."
72,06/27/2022,1000,2330,13.5,ADC-29,NYYM-102,SPS,7, 6 1/8,0-2-1,RSS,DRLG,D,10130,10224, , ,"SPS RSS/LWD ASSY DRILL 6-1/8"" L-0-2-1 LATERAL SECTION WITH CONTROLLED ROP W/75 PCF OBM & 100% CIRCULATION.- SPS STRATED CONTROLLING ROP TO BUILD BACK TO 89.83; CONTINUED DROPPING TO 84.5 DEG.- DRILLING WITH 200 GPM/50 RPM/0KLBS WOB TO CONTROL ROP (5-10FT/HR) IN VERY SOFT SAND FORMATION TO CATCH THE PLAN, ATTEMPT TO BUILD WITHOUT SUCCESS.- SWEPT HOLE AS REQUIRED. - WASH UP/REAM DOWN ONE SINGLE E/STD & TAKE SURVEY EVERY STD DRILLED."
73,06/27/2022,2330,0230,03.0,ADC-29,NYYM-102,RIG,7, 6 1/8,0-2-1,MPMP,DRLG,CIRC,10224,10224, , ,"SWEPT HOLE WITH HI-WT PILLS, CHC WITH 75 PCF OBM & 100% CIRCULATION.- MEANWHILE WAITING FOR FORWARD PLAN."
