,Report Date,Rig Name,Well No,Date and Time,Time in Hrs,Cummulative Hrs,LT ID,Parent LT ID,LT Type,Cause,Object,Company Name,Depth,LT Summary
43,06/21/2022,NBR-16S,HMYM-433114,21 Jun 0845 - 1245, 4, 4, 898658, , JF, XTRI, NA, RIG, 0," EXCESSIVE TIME TO MAKE UP BHA, TROUBESHHOTING AND REPLACING MANUAL TONGS & JAWS, IRON ROUGHNECK NOT WORKING)"
44,06/21/2022,NBR-263S,QTIF-736,20 Jun 0500 - 1430, 9.5, 26, 898597, , LCIR, UVLC, NA, ARM, 8307," WHILE DRLG START FROM 8200' TO 8307' (ARAB B), OBSERVE LOSSES 30 TO 40 BPH.
DECREASE FLOW RATE FROM 550 GPM TO 250 GPM OBSERVE NO LOSSES."
45,06/21/2022,NBR-263S,QTIF-736,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
46,06/21/2022,NBR-263S,QTIF-736,21 Jun 1830 - 0500, 10.5, 10.5, 898523, , WCNT, WC20, NA, ARM, 8541," WHILE WASH & REAM PRIOR CONNECTION OBSERVE INCREASE IN ACTIVE MUD TANKS.
STOP PUMP & FLOW CHECK OBSERVE WELL FLOWING, SHUT IN WELL AND OBSERVE PRESS FOUND SICP=160 PSI, PUMP OUT FLOAT VALVE AND OBSERVE SIDPP=70 PSI.
- LINE UP TO TRIP TANK AND BLEED OFF PRESS 50 PSI, CLOSE CHOKE OBSERVE PRESS BUILD UP.
- KILL WELL WITH DRILLER METHOD."
47,06/21/2022,NBR-263S,QTIF-736,20 Jun 0500 - 1430, 9.5, 26, 898597, , LCIR, UVLC, NA, ARM, 8307," WHILE DRLG START FROM 8200' TO 8307' (ARAB B), OBSERVE LOSSES 30 TO 40 BPH.
DECREASE FLOW RATE FROM 550 GPM TO 250 GPM OBSERVE NO LOSSES."
48,06/21/2022,NBR-783S,NJYN-93,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
49,06/21/2022,NBR-783S,NJYN-93,17 Jun 1400 - 0500, 6.25, 54.75, 898442, , UPRA, GRF, TDS, RIG, 395," LOST TDS COMMUNICATION, BLOWER MOTOR FAILED."
50,06/21/2022,PA-70S,MDRK-64,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
51,06/21/2022,PA-70S,MDRK-64,30 May 1800 - 0500, 24, 527.5, 897183, , TF, FOT, LLAP, WLH, 15492," WFD LOWER COMPLETION FAILED WHILE DISPLACE WITH WTR TO PICKLE UPPER COMPLETION , EITHER LINER HGR PKR OR CERAMIC DISK, HOWEVER THE NEGATIVE TEST WAS PERFORMED TO TOL HGR & CERAMIC DISK FOR 4 HR'S ON 26TH MAY-2022 WITH OUT LEAK."
52,06/21/2022,RM-74A,HSBH-68,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
53,06/21/2022,RM-74A,HSBH-68,14 Jun 1300 - 1700, 12, 170, 898171, , UPRA, GRF, RWCS, RIG, 1905, BIG BORE DIVERTER OVERSHOT LEAKING DURING DRILLING/HOLE ENLARGEMENT
54,06/21/2022,SA5898,MDRK-57,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
55,06/21/2022,SA5898,MDRK-57,20 Jun 0000 - 0300, 22, 27, 898574, , TF, FOT, SLIPS, RIG, 15500," DROP IN HOLE 2 DIES OF 4-3/4"" DC SLIPS."
56,06/21/2022,SCTD-2,HRDH-2307,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
57,06/21/2022,SCTD-2,HRDH-2307,21 Jun 1730 - 1830, 1, 1, 898520, , MUD, HPMR, NA, RIG, 14992," FAILURE IN THE ELECTRIC PUMP, REPLACE SUCTION PUMP & CLEAN SAME."
58,06/21/2022,SINO-12L,HRDH-400,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
59,06/21/2022,SINO-12L,HRDH-400,19 Jun 2230 - 0800, 3, 33.5, 898505, , TF, FOT, LINR, TK1, 7170, UNABLE TO SET OFF-BTM LINER DUE STRING LEAK.
60,06/21/2022,SINO-15L,ANDR-482,C,COMP,RPCS,UPCOM,ITS,11380,11380, 2300, 2824, ,"RIH 4-1/2"" UPPER COMPLETION WHILE P/U 4-1/2"" 11.6# J-55 N.VAM TBG F/ 2300 FT T/ 2824 FT (66 /129 JTS). "
61,06/21/2022,SINO-15L,ANDR-482,C,COMP,DTU,DRFT,HSL,11380,11380, , , ,"HPJSM, R/U HSL PCE , P/T PCE TO 1500 PSI-OK , RIH W/ 3.875"" DRIFT TILL TAG UPPER ""X"" NIPPLE @ 2589 FT."
62,06/21/2022,SINO-15L,ANDR-482,C,COMP,TI,TBG,RIG,11380,11380, 2824, 5414, ,"RIH W/ 7"" HCO 'VHR' PKR & TAIL PIPE ASSY ON 4-1/2"" 11.6# J-55 NVAM TBG TO 5417 FT (129/129 JTS ). "
63,06/21/2022,SINO-15L,ANDR-482,C,COMP,HT,PKR,HCO,11380,11380, , , ,"CONFIRMED TAG BOTTOM OF TBR, OK. P/U STRING AND SPACE OUT.- TUBING END 7 FT INSIDE TBR @ 5414 FT, PACKER ON SETTING DEPTH @ 5254 FT."
64,06/21/2022,SINO-15L,ANDR-482,C,COMP,SET,PLUGN,HSL,11380,11380, 5424, 5424, ,"R/U S/L BOP & LUBRICATOR, P/T SAME TO 1500 PSI.- S-LINE RIH WITH 3.875'' DRIFT, RIH T/ 3070 FT. & POOH.- S-LINE RIH WITH 3.5"" GC T/ 6500 FT. POOH.- S-LINE RIH AND SET PXN PLUG IN XN NIPPLE BELOW THE PACKER @ 5363 FT (3 RUNS)- PRESS TEST TUBING TO 300 PSI- S-LINE RIH AND SET JUNK TRAPPER ABOVE PXN NIPPLE- POOH, AND R/D S-LINE LUBRICATOR"
65,06/21/2022,SINO-15L,ANDR-482,C,COMP,OTH,SFLN,RIG,11380,11380, , , ,"P/T SURFACE LINES TO 4,000 PSI, OK. M/U XO & 4"" PUP JT, CONNECT TDS."
66,06/21/2022,SINO-15L,ANDR-482,C,COMP,PTST,SEAL,RIG,11380,11380, , , ,"SPACE OUT STRING IN PACKER IN FINAL SETTING POSITION. SET HES 7"" VHR PACKER @ 5254 FT BY PRESSURE UP TBG TO 2200 PSI, HOLD 10MIN; S/O 40 KLB (CONFIRM PKR SET) AND PRESS UP TO 3500 BY 10 MIN, HOLD OK. BLEED OFF PRESS AND P/U STRING W/10 KLB O/P, OK.CLOSE ANNULAR BOP, KEEP TBG SIDE OPEN, P/T TCA TO 1,000 PSI, FOR 10 MIN. OK.PRESSURE UP STRING TO 2200 PSI, SHEAR SEAL ASSEMBLY W/ 40 K.LB O/P; BLEED OFF PRESSUREP/U STRING 4 FT, FREE, SLACK OFF AND LAND LOCATOR SUB ON TOP OF PKR. P/U 4 FT TO LANDING POSITION.CLOSE ANNULAR BOP, KEEP TBG SIDE OPEN, P/T TCA TO 1,000 PSI, FOR 10 MIN, HOLD OK, P/T TBG SIDE TO 1000 PSI -OK."
67,06/21/2022,SINO-15L,ANDR-482,C,COMP,OTH,SEAL,HCO,11380,11380, , , ,SPACE OUT & L/D 6 JTS X 4.5'' N.VAM TBG + 2 TBG PUP JTS 
68,06/21/2022,SINO-15L,ANDR-482,C,COMP,HT,SSSV,BC,11380,11380, , ,  3305,"P/U & M/U 4.5'' BHI TR-SSSV, CONNECT CONTROL LINE & P/T SAME TO 6500 PSI FOR 30 MIN, OK."
69,06/21/2022,SINO-15L,ANDR-482,C,COMP,OTH,SEAL,HCO,11380,11380, , , ,"CONT. RIH W/ 4.5'' TBG JTS AS PER TALLEY, M/U 4-1/2"" X 11'' N.VAM TBG HANGER."
70,06/21/2022,SINO-15L,ANDR-482,C,COMP,DTU,DRFT,HSL,11380,11380, , , ,"R/U S/L, P/T LUBRICATOR AND BOP TO 1,500 PSI, OK, S/L RIH 3.875"" TO 200 FT, R/D S/L."
71,06/21/2022,SINO-15L,ANDR-482,C,COMP,CIRC,MPMP,RIG,11380,11380, , , ,"HPJSM , M/U FOSV W/ LANDING JT , DISPLACE TBG & TCA WITH 300 BBL 1% COAT-415 INHIBITED DIESEL IN STAGES & FLOW CHECKS ( MAX 1060 PRESS PSI @ 3 BPM ) VIA CHOKE."
72,06/21/2022,SINO-15L,ANDR-482,C,COMP,CIRC,MPMP,RIG,11380,11380, , ,  3305,"TERMINATE TR-SSSV C/L THROUGH TBG HGR & P/T C/L INTEGRITY, OK "
73,06/21/2022,SINO-15L,ANDR-482,C,COMP,CIRC,MPMP,RIG,11380,11380, , , ,"CLOSED ANNULUAR, DISPLACE TBG & TCA WITH 300 BBL 1% COAT-415 INHIBITED DIESEL IN STAGES & FLOW CHECKS ( MAX 1060 PRESS PSI @ 3 BPM ) VIA CHOKE."
74,06/21/2022,SINO-15L,ANDR-482,C,COMP,CIRC,MPMP,RIG,11380,11380, , , ,"FLOW CHECK FOR 30 MIN, WELL STATIC "
75,06/21/2022,SINO-15L,ANDR-482,C,COMP,HT,SEAL,HCO,11380,11380, , , ,"STING SEAL ASSEMBLY INTO PBR & LAND TBG HANGER, TIGHTEN LDS.EOT @ 5414 FT, ""XN"" NIPPLE @ 5366 FT , LOWER ""X"" NIPPLE @ 5312 FT , '7"" VHR PKR @ 5254 FT, UPPER ""X"" NIPPLE @ 5169 FT."
76,06/21/2022,SINO-15L,ANDR-482,C,COMP,PTST,SEAL,RIG,11380,11380, , , ,"P/T TCA W/ DIESEL TO 1500 PSI-OK, P/T TBG W/ DIESEL TO 1500 PSI- OK."
77,06/21/2022,SINO-15L,ANDR-482,C,COMP,SET,PLUGT,HSL,11380,11380, 225, 225, ," HPJSM, R/U S/L PCE, PT TO 2500 PSI, OK. RIH & SET 4-1/2"" MONOLOCK @ 225' ,P/T MONOLOCK TO 2500 PSI-OK, R/D HES S/L."
78,06/21/2022,SINO-15L,ANDR-482,C,BOP,BOP,BOP,RIG,11380,11380, , , ,"N/D BELL NIPPLE & FLOW LINE, N/D CLASS ""A"" 13-5/8"" 5M BOPE & RELATED EQUIPMENT .... ON GOING @ RPT "
79,06/21/2022,SINO-15L,ANDR-482,DOOS ID,Type,Category,Out of Scope Summary,21 Jun 1930, 1.5, 1.5, 3305, OOS, OTHR, M/U TRSSSV.
80,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,
82,06/21/2022,SINO-19L,UTMN-232,N,DRLG,LDP,BHA,RIG,6880,6880, 70, 0, ,"HPJSM, L/D 6-1/8"" MTR/MWD/LWD BHA."
83,06/21/2022,SINO-19L,UTMN-232,E,LOG,OTH,NA,HWP,6880,6880, , ,  3245,"(OOS) HPJSM. P/U & M/U HES W/ TLC TRIPLE COMBO/DIELECTRIC/MSFL LOGGING TOOL  STRING + X-O FOR 4""DP.>> FUNCTION TEST TOOLS, OK."
84,06/21/2022,SINO-19L,UTMN-232,E,LOG,ST,STDP,RIG,6880,6880, 106, 5255,  3245,"(OOS) RIH W/ TLC TRIPLE COMBO/DIELECTRIC/MSFL LOGGING TOOLS @ CONTROLLED SPEED ON 4"" DP/HWDP TO 5255'.>>KEEP MONITOR WELL ON TRIP TANK - STATIC>>DRIFTED 4"" DP/HWDP WITH 2.25"" SIZE WHILE RIH. >>FILLED STRING EVERY 10 STANDS W/ 86 PCF MUD USING W/L CIRC SUB & SCREEN."
85,06/21/2022,SINO-19L,UTMN-232,E,LOG,OTH,NA,HWP,6880,6880, , ,  3245," (OOS) R/U HALL W/L SHEAVES, CIRC, M/U HES WL SIDE ENTRY SUB & CIRC SUB WITH MUD SCREEN. >>RIH WITH W/L CABLE 300 FT ABOVE TOOL-HEAD. >>LATCHED ON WET CONNECTOR. CHECKED SIGNAL, OK."
86,06/21/2022,SINO-19L,UTMN-232,E,LOG,OTH,NA,HWP,6880,6880, , ,  3245,"(OOS) INSTALLED CABLE CLAMP & PERFORMED PULL TEST, OK."
87,06/21/2022,SINO-19L,UTMN-232,E,LOG,ST,STDP,RIG,6880,6880, 5255, 6860,  3245,"(OOS) CONT RIH W/ HES TRIPLE COMBO/DIELECTRIC/MSFL  LOGGING TOOLS ON DRIFTED 4"" DPS F/ 5255 FT TO 6860' (20' OFF BOTTOM).>> FILL STRING EVERY 15 STANDS."
88,06/21/2022,SINO-19L,UTMN-232,E,LOG,LOG,WLT,HWP,6880,6880, 6860, 6660,  3245,"(OOS) HES ACTIVATED TOOLS & LOGGED UP REPEAT PASS WITH TRIPLE COMBO/DIELECTRIC/MSFL OH LOGGING TOOLS ON 4"" DP F/ 6860' T/ 6660' AS PER RDD."
89,06/21/2022,SINO-19L,UTMN-232,E,LOG,LOG,WLT,HWP,6880,6880, 6860, 5860,  3245,"(OOS) HES RIH BACK TO 6860' & ACTIVATED TOOLS & LOGGED UP MAIN PASS WITH TRIPLE COMBO/DIELECTRIC/MSFL OH LOGGING TOOLS ON 4"" DP F/ 6860' T/ 5860'."
90,06/21/2022,SINO-19L,UTMN-232,E,LOG,ST,STDP,RIG,6880,6880, 5860, 5255,  3245,"(OOS) POOH W/TLC TRIPLE COMBO/DIELECTRIC/MSFL LOGGING TOOLS ON 4"" DP STD'S  F/ 5860' T/ 5255'.>>KEEP MONITOR WELL ON TRIP TANK - STATIC.>>PROCCESSED LOGS & SENT DATA TO RDD"
91,06/21/2022,SINO-19L,UTMN-232,E,LOG,OTH,NA,HWP,6880,6880, , ,  3245,(OOS) HES WL UNLATCHED FROM WET CONNECTOR.>> POOH WITH W/L CABLE TO SURFACE.>> RIG DOWN HES WL SHEAVES & SPLIT BUSHING.
92,06/21/2022,SINO-19L,UTMN-232,E,LOG,TO,STDP,RIG,6880,6880, 5255, 106,  3245,"(OOS) POOH HES MSFL / DIELECTRIC LOGGING TOOLS ON 4"" DP  STD'S TO SURFACE. >>KEEP MONITOR WELL ON TRIP TANK - STATIC"
93,06/21/2022,SINO-19L,UTMN-232,E,LOG,OTH,NA,HWP,6880,6880, , ,  3245,(OOS) L/D HES WIRELINE LOOGING TOOLS.
94,06/21/2022,SINO-19L,UTMN-232,N,CT,HT,BHA,RIG,6880,6880, , , ,"HPJSM, P/U & M/U 6-1/8"" STIFF REAMING BHA AS FOLLOWS:>> 6-1/8"" WELDED TRI-CONE BIT + 6-1/8"" NEAR BIT REAMER WITH FLOAT VALVE + 1 JT X 4-3/4"" D/C + 6-1/8"" STRING REAMER + 1 JT 4-3/4"" D/C + 6-1/8"" STRING REAMER +1 JTS 4-3/4"" D/C + XO + 3 JTS 4"" HWDP + 4-3/4"" JAR + 2 JTS 4'' HWDP"
95,06/21/2022,SINO-19L,UTMN-232,N,CT,TI,STDP,RIG,6880,6880, 275, 2300, ,"RIH W/ 6-1/8"" STIFF REAMING ASSY. ON 4"" HWDP/DP T/ 5488' (TOW)...... INC @ RPT>>KEEP MONITOR WELL ON TRIP TANK - STATIC"
96,06/21/2022,SINO-19L,UTMN-232,DOOS ID,Type,Category,Out of Scope Summary,15 Jun 0300, 21, 22.5, 3245, OOS, LOG, PERFORM TRIPLE COMBO/MSFL/DIELECTRIC LOG.
97,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,
99,06/21/2022,SINO-36L,SDGM-458,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
100,06/21/2022,SINO-36L,SDGM-458,17 Jun 1130 - 0500, 24, 113.5, 898452, , STUK, IPDF, DP, TK1, 8146," WORK ON FREEING STUCK 3-7/8"" CLEAN OUT ASSEMBLY."
101,06/21/2022,SND-2001,UTMN-2329,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
102,06/21/2022,SND-2001,UTMN-2329,19 Jun 1930 - 0500, 23, 44.5, 898492, , BHA, FOT, RSS, SDM, 15637, RSS UNABLE TO BUILD UP REQUIRED INCLINATION.
103,06/21/2022,SND-2002,WAQR-23,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
104,06/21/2022,SND-2002,WAQR-23,16 Jun 2330 - 0500, 24, 125.5, 898293, , LCIR, UVLC, NA, ARM, 10620," ENCOUNTERED PARTIAL LOSSES WHILE DRILLING AT 10,510 FT AND SEVERE LOSSES AT 10,620 FT"
105,06/21/2022,SND-2005,MHKK-2,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
106,06/21/2022,SND-2005,MHKK-2,20 Jun 0230 - 0730, 2.5, 5, 898655, , TF, FOT, WLT, SWL, 13195," SCHLUMBERGER ASSURED EXPLORATION THE CBL/IBC/USIT WOULD WORK WITH THE 126 PCF, HOWEVER, WHEN USED, INADEQUATE SIGNAL. "
107,06/21/2022,SND-3002,DMMM-601,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
108,06/21/2022,SND-3002,DMMM-601,20 Jun 1900 - 2300, 16, 26, 898516, , BHA, FOT, RSS, SDM, 12127, SDM RSS/MWD UNABLE TO HOLD INC ANGLE.
109,06/21/2022,SP-110,BRRI-562,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
110,06/21/2022,SP-110,BRRI-562,21 Jun 1215 - 1315, 1, 1, 898657, , STUK, STBH, BHA, ARM, 16745," WHEN WASHING UP AT KELLY DOWN STRING GOT STUCK, RELEASE STUCK PIPE WITH  WORK STRING UP & DOWN "
