,Cause,Company Name,Cummulative Hrs,Date and Time,Depth,LT ID,LT Summary,LT Type,Object,Parent LT ID,Report Date,Rig Name,Time in Hrs,Well No
19, FOT, RIG, 3.75,01 Aug 2245 - 0230, 11057, 900350, OBSERVE TWO MUD PUMPS BROKE DOWN WHILE DRILLING AT 11057 FT. DECIDE TO POOH TO CSG SHOE WHILE WORK ON MUD PUMPS., RR, MPMP, ,08/01/2022,ADC-66L, 3.75,UTMN-3155
20, WTHR, OTH, 2,01 Aug 0300 - 0500, 0, 900344, STOPPED TRIPPING DUE TO HIGH WIND SPEED., WON, NA, ,08/01/2022,ADES-14, 2,HWYH-536
21,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,ADES-14,Hrs,HWYH-536
22, FOT, RIG, 3,01 Aug 2030 - 2330, 1565, 900343," SCRAPPER COULD NOT PASS 7"" TOL", DSF, STRG, ,08/01/2022,ADES-14, 3,HWYH-536
23, WTHR, OTH, 2,01 Aug 0300 - 0500, 0, 900344, STOPPED TRIPPING DUE TO HIGH WIND SPEED., WON, NA, ,08/01/2022,ADES-14, 2,HWYH-536
24,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,ADES-889,Hrs,HRDH-2122
25, FOT, RIG, 7.5,01 Aug 2030 - 0400, 6780, 900395, DAMAGE OF DRAW WORKS HIGH GEAR CHAIN & HIGH CLATCH CHAIN., RR, DWKS, ,08/01/2022,ADES-889, 7.5,HRDH-2122
26,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,ADM-337,Hrs,MRJN-900
27, SRVC, BCT, 17.75,31 Jul 1115 - 2300, 13019, 900306," ATTEMPTED TO P/T CT LINES, SEVERAL LOW-TORQUE VALVES LEAKING. REPLACE AND RE-GREASE VALVES. ", WO, NA, ,08/01/2022,ADM-337, 4,MRJN-900
28,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,ARO-2001,Hrs,BRRI-90
29, FOT, ITS, 3,01 Aug 1630 - 1930, 198, 900342," ITS CREW USED WRONG SIZED ELEVATOR (3-1/2"") TO RUN 2-7/8"" TBG. ", TF, PEL, ,08/01/2022,ARO-2001, 3,BRRI-90
30,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,DQ-49L,Hrs,HRDH-575
31, STBH, TK2, 153,26 Jul 2000 - 0500, 3232, 900195," WHILE BACKRAMING @ 3232 FT, SUDDENTLY LOST ROTARY, ATTEMPT TO MOVE PIPE DOWN WITH NO  SUCCESS. OBSERVE PIPE STUCK", STUK, BHA, ,08/01/2022,DQ-49L, 24,HRDH-575
32,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,DQ-57L,Hrs,KHRS-68
33, WOTO, TK1, 10.5,01 Aug 0500 - 1530, 4600, 900347," WORK ON STUCK 2.34""G.C WITH JARRING UP & 820 LB MAX O/P WHILE WAITING ON GO-DEVIL CUTTER & HALL S/L FISHING EQUIPMENTS", WO, NA, ,08/01/2022,DQ-57L, 10.5,KHRS-68
34,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,ED-85A,Hrs,ZULF-2063
35, CFST, BCM, 75,26 Jul 0145 - 0500, 11328, 900111, CEMENT SET WHILE DISPLACING DV OPENNING PLUG., CMT, NA, ,08/01/2022,ED-85A, 22,ZULF-2063
36, FOT, SRT, 2.75,01 Aug 0215 - 0500, 0, 900362," ATTEMPTED TO FUNCTION TEST RHINO REAMER, TEST FAILED.", BHA, RM, ,08/01/2022,ENS-108, 2.75,ZULF-2014
37,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,ENS-108,Hrs,ZULF-2014
38, FOT, ENV, 189.25,25 Jul 0500 - 0215, 6135, 900310," WHILE RIH WITH 9-5/8"" CASING, ENCOUNTERED OBSTRUCTION W/ 10 KLBS S/O @6,135' (INSIDE LINER).", TF, EXPND, ,08/01/2022,ENS-108, 21.25,ZULF-2014
39, FOT, SRT, 2.75,01 Aug 0215 - 0500, 0, 900362," ATTEMPTED TO FUNCTION TEST RHINO REAMER, TEST FAILED.", BHA, RM, ,08/01/2022,ENS-108, 2.75,ZULF-2014
40,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,ENSCO-54,Hrs,ABSF-17
41, FOT, SPS, 1,01 Aug 1830 - 1930, 7975, 900375,  STOPPED DRILLING - CIRCULATE  WHILE SPERRY TROUBLE SHOOT PC  PROBLEMS., BHA, LWD, ,08/01/2022,ENSCO-54, 1,ABSF-17
42,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,ENSCO-76,Hrs,MRJN-853
43, FOT, RIG, 3,01 Aug 0815 - 1115, 8405, 900372, SWIVEL PACKING FAILED., RR, SWVL, ,08/01/2022,ENSCO-76, 3,MRJN-853
44,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,HI-2,Hrs,BRRI-435
45, HERR, RIG, 2.5,01 Aug 0230 - 0500, 1015, 900393," DURING HOUSEKEEPING OBSERVED MOUSE HOLE COVER MISSING, SUSPECTED THAT IT FELL IN HOLE. ", FISH, BHA, ,08/01/2022,HI-2, 2.5,BRRI-435
46,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,MP-1,Hrs,MRJN-78
47, FOT, NRT, 26.25,31 Jul 0245 - 0500, 9345, 900303," DURING THE REAMING TRIP, LOST +/- 500 PSI DPP WHILE REAMING DOWN. AFTER POH FOUND NOV BULLNOSE & 4 INTERNAL HOUSING PARTS LOST IN HOLE.", BHA, UNDR, ,08/01/2022,MP-1, 24,MRJN-78
48, WC20, ARM, 1,01 Aug 0400 - 0500, 13970, 900349," FLOW CHECK WHILE R/U WL HAD A SLIGHT FLOW, SHUT IN WELL AND OBSERVE PRESS FOUND SICP=0 PSI, ", WCNT, NA, ,08/01/2022,NBR-263S, 1,QTIF-736
49,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,NBR-263S,Hrs,QTIF-736
50, STBH, ARM, 44.75,29 Jul 0230 - 0400, 13970, 900313,"  GOT STG STUCK AFTER OPEN BOP FOR WELL OBSERVATION, WELL STATIC, TRIED TO MOVE STG W/O SUCCESS & WORK ON STUCK.", STUK, BHA, ,08/01/2022,NBR-263S, 13.75,QTIF-736
51, WC20, ARM, 8.75,01 Aug 0600 - 1445, 13970, 900348," FLOW CHECK AFTER CIRC HAD A SLIGHT FLOW, SHUT IN WELL AND OBSERVE PRESS FOUND SICP=0 PSI, ", WCNT, NA, ,08/01/2022,NBR-263S, 8.75,QTIF-736
52, WC20, ARM, 1,01 Aug 0400 - 0500, 13970, 900349," FLOW CHECK WHILE R/U WL HAD A SLIGHT FLOW, SHUT IN WELL AND OBSERVE PRESS FOUND SICP=0 PSI, ", WCNT, NA, ,08/01/2022,NBR-263S, 1,QTIF-736
53,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,NBR-304S,Hrs,HRDH-1958
54, FOT, SPS, 14.5,01 Aug 1230 - 0500, 17692, 900376, SPERRY SUN I-CRUISE FAILURE, BHA, RSS, ,08/01/2022,NBR-304S, 14.5,HRDH-1958
55,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,NBR-591S,Hrs,HRDH-2259
56, FOT, GOC, 1.5,01 Aug 0330 - 0500, 9910, 900394, AL-GHAITH CASING RUNNING EQUIPMENT STOP WORKING, TF, PEL, ,08/01/2022,NBR-591S, 1.5,HRDH-2259
57, FOT, HCM, 1.5,01 Aug 0015 - 0145, 5380, 900377," HALLIBURTON CEMENT UNIT MALFUNCTION, RESET SOFTWARE TILL WORKING OK.", TF, PUMP, 899983,08/01/2022,PN-9, 1.5,MRJN-673
58,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,PN-9,Hrs,MRJN-673
59, CFST, HCM, 222,23 Jul 2300 - 0500, 0, 899983," WHILE PUMPING DOWN WFD DV OPENING PLUG FOR 1ST STAGE CEMENT JOB, STRING PRESSURED UP 34 BBLS PRIOR TO THEORETICAL DISPLACMENT. ATTEMPT TO BUMP WFD DV OPENING PLUG AND OPEN WFD DV PORTS WITH MAX 3500 PSI, NO SUCCESS. INSPECT SURACE CEMENT SAMPLES - SAMPLES SET & HARD.", CMT, NA, ,08/01/2022,PN-9, 22.5,MRJN-673
60, FOT, HCM, 1.5,01 Aug 0015 - 0145, 5380, 900377," HALLIBURTON CEMENT UNIT MALFUNCTION, RESET SOFTWARE TILL WORKING OK.", TF, PUMP, 899983,08/01/2022,PN-9, 1.5,MRJN-673
61,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,SINO-18,Hrs,HDYF-4
62, WTHR, ARM, 2,01 Aug 2300 - 0100, 7508, 900363, WAIT ON BAD WEATHER (HIGH WIND & HEAVY RAIN), WON, NA, ,08/01/2022,SINO-18, 2,HDYF-4
63,12127, ,DTU,C, ,DRFT,"CONT. HES SLICK LINE OPERATIONS:-- SET PXN PLUG IN XN-NIPPLE @ 5212', RUN CHECK SET & PRONG (3 RUNS) & PRESSURE TEST WITH 300 PSI, HOLD OK, POH.- RIH WITH JUNK CATCHER & SET SAME @ 5212', POH & R/D S/L.- KEEP PUMPING 60 BPH OF 77 PCF VISCOUS BRINE INTO ANNULUS.",12127, ,HSL,08/01/2022,SINO-36L,COMP,SDGM-458
64,12127, ,CIRC,C, ,MPMP,BULLHEAD TCA WITH 330 BBL'S OF 77 PCF BRINE {2 BPM @ 50 PSI),12127, ,RIG,08/01/2022,SINO-36L,COMP,SDGM-458
65,12127, 5101,SET,C, ,PKR,"HPJSM, CONNECT TDS, PT SURFACE LINES TO 4000 PSI, OK, SPACE OUT 7 FT INSIDE TBR. PRESSURE UP T/2200 PSI & SET HALLIBURTON 7"" 'VHR' PACKER @ 5101 FT, S/O 35 KLB, PRESSURE UP T/ 3500 PSI, 10 MIN - OK, CONFIRM SET W/10 KLB O/P, PT TCA W/ TBG OPEN T/ 1000 PSI - OK, PRESSURE UP T/ 2000 PSI, APPLY 40 KLB O/P & SHEAR SEAL ASSY FROM PBR. SPACE OUT SEAL ASSY, PT TCA T/1000 PSI - OK.",12127, 5101,HCO,08/01/2022,SINO-36L,COMP,SDGM-458
66,12127, ,HT,C, ,PEL,"HPJSM, POH & L/D 7 EA JTS 4-1/2"" TBG FOR SPACE OUT.",12127, ,RIG,08/01/2022,SINO-36L,COMP,SDGM-458
67,12127, ,OTH,C,  3906,SSSV,"HPJSM, P/U & MU BAKER TRSSSV, CONNECTED CONTROL LINE & PT TO 6000 PSI, OK.",12127, ,BC,08/01/2022,SINO-36L,COMP,SDGM-458
68,12127, ,HT,C, ,PEL," RIH WITH 4 JTS 4-1/2"" TBG & 4 PUP JTS SPACE OUT, P/U TBG HANGER.",12127, ,RIG,08/01/2022,SINO-36L,COMP,SDGM-458
69,12127, ,DTU,C, ,DRFT,"HPJSM, R/U HSL PCE, PT TO 1500 PSI-OK, RUN 3.875"" DRIFT & TAG TRSSSV, OK, R/D SLICK LINE. ",12127, ,HSL,08/01/2022,SINO-36L,COMP,SDGM-458
70,12127, ,OTH,C,  3906,SSSV,"P/U & M/U 4.5'' BHI TR-SSSV, CONNECT CONTROL LINE & P/T SAME TO 6500 PSI FOR 30 MIN, OK.",12127, ,BC,08/01/2022,SINO-36L,COMP,SDGM-458
71,12127, ,OTH,C, ,TBG,"M/U 4 1/2"" TBG LANDING JOINT, FOSV, M/U CIRC HEAD, LOWER STRING TO 5' ABOVE PBR.",12127, ,RIG,08/01/2022,SINO-36L,COMP,SDGM-458
72,12127, ,CIRC,C, ,MPMP,DISPLACE TBG TO DIESEL & TCA W/ 1% COAT-415 INHIBITED DIESEL. FLOW CHECK - WELL STATIC.,12127, ,RIG,08/01/2022,SINO-36L,COMP,SDGM-458
73,12127, ,PTST,C, ,PKR,"HPJSM. LAND TBG HANGER & LOCK TIE-DOWN SCREWS. PT TBG & TCA SEPARATELY TO 1500 PSI, OK.",12127, ,RIG,08/01/2022,SINO-36L,COMP,SDGM-458
74,12127, 180,SET,C, ,PLUGT,"CLOSE TRSSSV, R/U HSL & PT PCE T/ 1500 PSI - OK, HSL RUN AND SET 4-1/2"" MONO-LOCK AT 180', P/T TO 1000 PSI, OK. R/D HSL & L/D LANDING JOINT & FOSV.",12127, 180,HSL,08/01/2022,SINO-36L,COMP,SDGM-458
75,12127, ,ND,C, ,BOP,"N/D CLASS ""A"" 13-5/8"" 5M BOPE & RELATED EQUIPMENT.",12127, ,RIG,08/01/2022,SINO-36L,BOP,SDGM-458
76,12127, ,NU,C, ,WH,"HPJSM, N/U 11"" X 4"" NEW CIW TBG BONNET, HPJSM. N/U  4-1/16"" 3M CIW OFFSHORE TREE, ORIENT VALVES TO ORIGINAL DIRECTION.- P/T BONNET SEALS TO 2500 PSI, OK.- P/T TREE TO 2500 PSI, OK.",12127, ,RIG,08/01/2022,SINO-36L,WH,SDGM-458
77,12127, ,OTH,C,  3906,SSSV,"HPJSM, TERMINATE BAKER TR-SSSV C/L THROUGH TBG BONNET ,FUNCTION TEST TR-SSSV, OK & P/T CONTROL LINE INTEGRITY TO 5000 PSI FOR 10 MIN, HOLD OK.",12127, ,BC,08/01/2022,SINO-36L,COMP,SDGM-458
78,12127, ,DTU,C, ,DRFT,"HPJSM, R/U HSL & PT PCE T/ 1500 PSI-.......INC@RPT.",12127, ,HSL,08/01/2022,SINO-36L,COMP,SDGM-458
79, 4, OOS,Category,DOOS ID, OTHR,Out of Scope Summary, INSTALL BAKER TRSSSV., 4, 3906,01 Aug 0330,08/01/2022,SINO-36L,Type,SDGM-458
80,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,
82,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,SND-1501,Hrs,HWYH-413
83, WTHR, ARN, 2.25,01 Aug 0215 - 0430, 0, 900392,  WAIT ON WEATHER, WON, NA, ,08/01/2022,SND-1501, 2.25,HWYH-413
84,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,SND-1502,Hrs,HRDH-124
85, SDIR, WDS, 8,31 Jul 2315 - 0930, 8168, 900358, STUCK PIPE DUE TO HOLE GEOMETRY, STUK, RSS, ,08/01/2022,SND-1502, 4.5,HRDH-124
86,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,SND-2007,Hrs,AWTD-104001
87, FOT, RIG, 6.5,01 Aug 1815 - 0115, 15522, 900311, WASH PIPE ON TDS LEAKS., RR, TDS, ,08/01/2022,SND-2007, 6.5,AWTD-104001
88,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,SND-2008,Hrs,HRDH-1812
89, STDP, RIG, 474,07 Jul 0500 - 0500, 12837, 899514," WHILE WORK ON STRG DUE TO STUCK, GOT FREE W/ 120 KLBS WITH STRING TWISTED OFF AT 2ND DC ABOVE MILL.", STUK, DP, ,08/01/2022,SND-2008, 24,HRDH-1812
90,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,SP-120,Hrs,MNIF-187
91, FRFM, ARM, 81.5,29 Jul 1730 - 0500, 6340, 900228, CURE LOSSES AT WARA FORMATION WITH LCM PILL AND CEMENT PLUG., LCIR, NA, ,08/01/2022,SP-120, 24,MNIF-187
92,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,SP-122,Hrs,HWYH-1178
93, HERR, RIG, 22,31 Jul 1530 - 1330, 11862, 900339," WHILE RIH W/ WBCO BHA INSIDE 7"" LINER DRILLER PUT 50KLBS S/O WT.", DSF, DP, ,08/01/2022,SP-122, 8.5,HWYH-1178
94,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,SP-257,Hrs,HZEM-162412
95, LCRW, ARM, 39.5,31 Jul 1330 - 0500, 445, 900304," 22"" BHA STUCK WHILE TOOH WITH TOTAL LOSSES.", STUK, STRG, ,08/01/2022,SP-257, 24,HZEM-162412
96,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,SP-258,Hrs,JNAB-872212
97, FOT, SDM, 57.25,30 Jul 1945 - 0500, 10515, 900327, GR IS READING FINE IN THE BEAGGING THEN START GIVING ERRATIC GR., BHA, LWD, ,08/01/2022,SP-258, 24,JNAB-872212
98,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,SSA-303,Hrs,HRDH-2411
99, FOT, RIG, 1,01 Aug 0045 - 0145, 5200, 900364, DRAW WORKS STOPPED WORKING -TROUBLESHOOTING PROBLEM AND FIXED SAME BY CHANGING CARD IN VFD CONTROLLER., RR, DWKS, ,08/01/2022,SSA-303, 1,HRDH-2411
100,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,SSA-51,Hrs,MNIF-257
101, FOT, OGS, 9,01 Aug 2000 - 0500, 8536, 900341, GYRO TOOL FAILURE, TF, GYRO, ,08/01/2022,SSA-51, 9,MNIF-257
102,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,SSA-5962,Hrs,HRDH-2513
103, WTHR, ARM, 2.5,01 Aug 0230 - 0500, 4300, 900345, SUSPENDED OPERATION DUE BAD WEATHER (HIGH WIND & HEAVEY RAIN). , WON, NA, ,08/01/2022,SSA-5962, 2.5,HRDH-2513
104,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,SSA-5970,Hrs,UTMN-2340
105, XTRI, RIG, 2,01 Aug 0100 - 0300, 0, 900361, EXCESS TIME FOR INSTALLING MODIFIED BELL NIPPLE AND FITTING WITH FLOW LINE., JF, NA, ,08/01/2022,SSA-5970, 2,UTMN-2340
106,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,SSA-5974,Hrs,HRDH-2187
107, FOT, RIG, 2,01 Aug 2300 - 0100, 5519, 900373, TOP DRIVE TROLLY BEAM PIN BROKEN. , RR, TDS, ,08/01/2022,SSA-5974, 2,HRDH-2187
108,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/02/2022,ADC-17,Hrs,ZULF-1210
109, HINW, ARM, 24,02 Aug 0500 - 0500, 5490, 900413," MANSOORI SLICKLINE 3.5"" SHIFTING TOOL STUCK WHILE POH @5490 FT DUE TO SAND PRODUCTION AFTER FLOW BACK TWO ZONES", STUK, SLICK, ,08/02/2022,ADC-17, 24,ZULF-1210
110,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/02/2022,ADC-23,Hrs,KIDN-23
111, FOT, HCO, 2.5,02 Aug 0500 - 0730, 0, 900351, CONNECTION FROM THE CIRCULATION VALVE TO THE RTTS WOULD NOT CORRECTLY MAKE UP. LAID OUT RTTS., TF, RTTS, ,08/02/2022,ADC-23, 2.5,KIDN-23
112,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/02/2022,ADC-31,Hrs,SDGM-1181
113, STDP, RIG, 468.5,12 Jul 1930 - 0500, 14234, 899623, TDS TRIPPED AND LOST RPM CAUSING STUCK PIPE., STUK, DP, ,08/02/2022,ADC-31, 24,SDGM-1181
114,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/02/2022,ADC-35,Hrs,MAQL-5
115, WTHR, ARM, 1,02 Aug 1700 - 1800, 7880, 900418, SUSPEND OPERATION DUE TO HEAVEY SAND STORM & LOW VISIBILITY., WON, NA, ,08/02/2022,ADC-35, 1,MAQL-5
116,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/02/2022,ADC-43L,Hrs,UTMN-3118
117, FRFM, TK3, 74.5,30 Jul 0115 - 0500, 12637, 900352, WHILE DRILLING LOST COMPLETE RETURNS IN KHUFF B CARBONATE. PUMPING LCM TO CURE THE LOSSES., LCIR, NA, ,08/02/2022,ADC-43L, 24,UTMN-3118
118,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/02/2022,ADC-48,Hrs,HRDH-2316
119, FOT, RIG, 5,02 Aug 1530 - 2030, 7613, 900384," ELECTRICIAN INSTALL NEW TDS SERVICE LOOP CABLE, FUNCTION TEST-OK
- WHILE MONITORING WELL THRU TT AT SHOE", RR, TDS, ,08/02/2022,ADC-48, 5,HRDH-2316
120,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/02/2022,ADC-50,Hrs,SFNY-1176
121, LCRW, ARM, 279.25,19 Jul 1830 - 0500, 0, 899874, PIPE STUCK. NO SUCCESS TO FREE PIPE. CUT  PIPE AT 3260' WITH MPC . SPOTTED SIDETRACK CMT PLUG FOR SIDETRACK., STUK, STRG, ,08/02/2022,ADC-50, 24,SFNY-1176
122,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/02/2022,ADC-52,Hrs,SDGM-1185
123, HINW, BAW, 112,29 Jul 1300 - 0500, 12600, 900261, LOGGING TOOLS GOT STUCK MECHANICALLY DUE TO WASHOUTS WHILE PERFORMING THE REPEAT PASS, STUK, WLT, ,08/02/2022,ADC-52, 24,SDGM-1185
124,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/02/2022,ADC-55L,Hrs,UTMN-3171
125, STBH, TK3, 90.5,30 Jul 0830 - 0500, 12245, 900335, PU STRING AFTER DROP PBL BALLS FOUND STRING STUCK., STUK, BHA, ,08/02/2022,ADC-55L, 24,UTMN-3171
126,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/02/2022,ADC-56L,Hrs,UTMN-3069
127, FOT, RIG, 1.5,02 Aug 2330 - 0100, 3665, 900367," WHILE RIH 13-3/8CASING JT #89, THE SINGLE JOINT ELEVATOR CAME IN CONTACT WITH SPIDER SLIPS. ", RR, TDS, ,08/02/2022,ADC-56L, 1.5,UTMN-3069
128,7019, ,OTH,E,  3885,NA,POOH & L/D SLB WL NMR TOOLS FROM 51 FT TO SURFACE.- MONITOR THE WELL WITH TRIP TANK,7019, ,SWL,08/02/2022,ADC-57L,LOG,KRSN-175
